orf_id,sequence_id,start,end,strand,frame,length_bp,length_aa,start_codon,confidence_score,overlap_flag,overlap_with
ENA|PV935594|PV935594.1_predicted_orf_1,ENA|PV935594|PV935594.1,103,261,-,-1,159,52,TTG,0.4687,None,
ENA|PV935594|PV935594.1_predicted_orf_2,ENA|PV935594|PV935594.1,236,13453,+,2,13218,4405,ATG,1.0,Overlap,"ORF_ENA|PV935594|PV935594.1_+3_246_395,ORF_ENA|PV935594|PV935594.1_-3_392_637,ORF_ENA|PV935594|PV935594.1_+3_402_503,ORF_ENA|PV935594|PV935594.1_-2_486_662,ORF_ENA|PV935594|PV935594.1_+3_534_656,ORF_ENA|PV935594|PV935594.1_+3_681_851,ORF_ENA|PV935594|PV935594.1_-1_820_960,ORF_ENA|PV935594|PV935594.1_+3_855_1067,ORF_ENA|PV935594|PV935594.1_-1_979_1080,ORF_ENA|PV935594|PV935594.1_+3_1098_1199,ORF_ENA|PV935594|PV935594.1_-1_1207_1299,ORF_ENA|PV935594|PV935594.1_-3_1361_1738,ORF_ENA|PV935594|PV935594.1_+3_1434_1529,ORF_ENA|PV935594|PV935594.1_-1_1498_1686,ORF_ENA|PV935594|PV935594.1_+3_1545_1709,ORF_ENA|PV935594|PV935594.1_-2_1782_1874,ORF_ENA|PV935594|PV935594.1_+3_1836_1937,ORF_ENA|PV935594|PV935594.1_-1_1900_2016,ORF_ENA|PV935594|PV935594.1_-1_2095_2232,ORF_ENA|PV935594|PV935594.1_+3_2178_2282,ORF_ENA|PV935594|PV935594.1_-1_2260_2721,ORF_ENA|PV935594|PV935594.1_-3_2531_2887,ORF_ENA|PV935594|PV935594.1_+3_2547_2654,ORF_ENA|PV935594|PV935594.1_-1_2812_2919,ORF_ENA|PV935594|PV935594.1_+3_2928_3176,ORF_ENA|PV935594|PV935594.1_-2_2976_3233,ORF_ENA|PV935594|PV935594.1_-3_3065_3160,ORF_ENA|PV935594|PV935594.1_-3_3173_3268,ORF_ENA|PV935594|PV935594.1_+3_3177_3272,ORF_ENA|PV935594|PV935594.1_-1_3325_3420,ORF_ENA|PV935594|PV935594.1_-3_3329_3436,ORF_ENA|PV935594|PV935594.1_-3_3548_3658,ORF_ENA|PV935594|PV935594.1_+3_3564_3722,ORF_ENA|PV935594|PV935594.1_-1_3652_3747,ORF_ENA|PV935594|PV935594.1_-2_3708_3800,ORF_ENA|PV935594|PV935594.1_-1_3781_3984,ORF_ENA|PV935594|PV935594.1_+3_3900_4073,ORF_ENA|PV935594|PV935594.1_-1_4108_4206,ORF_ENA|PV935594|PV935594.1_-2_4161_4262,ORF_ENA|PV935594|PV935594.1_+3_4287_4400,ORF_ENA|PV935594|PV935594.1_-1_4294_4428,ORF_ENA|PV935594|PV935594.1_+3_4677_4805,ORF_ENA|PV935594|PV935594.1_-1_4843_4992,ORF_ENA|PV935594|PV935594.1_-3_4871_4981,ORF_ENA|PV935594|PV935594.1_+3_5073_5186,ORF_ENA|PV935594|PV935594.1_-2_5418_5516,ORF_ENA|PV935594|PV935594.1_-1_5443_5553,ORF_ENA|PV935594|PV935594.1_-3_5456_5611,ORF_ENA|PV935594|PV935594.1_-3_5657_5749,ORF_ENA|PV935594|PV935594.1_+1_5773_5883,ORF_ENA|PV935594|PV935594.1_-3_5804_5989,ORF_ENA|PV935594|PV935594.1_+3_5889_6059,ORF_ENA|PV935594|PV935594.1_-1_5950_6042,ORF_ENA|PV935594|PV935594.1_+3_6126_6320,ORF_ENA|PV935594|PV935594.1_-1_6157_6513,ORF_ENA|PV935594|PV935594.1_+3_6723_6830,ORF_ENA|PV935594|PV935594.1_-1_7135_7239,ORF_ENA|PV935594|PV935594.1_-3_7202_7306,ORF_ENA|PV935594|PV935594.1_+3_7206_7337,ORF_ENA|PV935594|PV935594.1_-1_7291_7389,ORF_ENA|PV935594|PV935594.1_+3_7347_7439,ORF_ENA|PV935594|PV935594.1_-2_7377_7508,ORF_ENA|PV935594|PV935594.1_+3_7512_7679,ORF_ENA|PV935594|PV935594.1_-3_7658_7795,ORF_ENA|PV935594|PV935594.1_+3_7971_8072,ORF_ENA|PV935594|PV935594.1_-1_8014_8118,ORF_ENA|PV935594|PV935594.1_-3_8207_8356,ORF_ENA|PV935594|PV935594.1_-1_8614_8742,ORF_ENA|PV935594|PV935594.1_-1_8767_8919,ORF_ENA|PV935594|PV935594.1_+3_8826_8945,ORF_ENA|PV935594|PV935594.1_+3_8958_9053,ORF_ENA|PV935594|PV935594.1_-2_9000_9092,ORF_ENA|PV935594|PV935594.1_+3_9063_9164,ORF_ENA|PV935594|PV935594.1_-3_9077_9193,ORF_ENA|PV935594|PV935594.1_-1_9136_9258,ORF_ENA|PV935594|PV935594.1_+3_9171_9299,ORF_ENA|PV935594|PV935594.1_-3_9365_9463,ORF_ENA|PV935594|PV935594.1_+1_9616_9708,ORF_ENA|PV935594|PV935594.1_+3_9888_10085,ORF_ENA|PV935594|PV935594.1_-3_10010_10147,ORF_ENA|PV935594|PV935594.1_+3_10185_10370,ORF_ENA|PV935594|PV935594.1_-3_10193_10345,ORF_ENA|PV935594|PV935594.1_-1_10243_10341,ORF_ENA|PV935594|PV935594.1_-2_10473_10619,ORF_ENA|PV935594|PV935594.1_-1_10567_10737,ORF_ENA|PV935594|PV935594.1_-2_10725_10826,ORF_ENA|PV935594|PV935594.1_-1_10789_10992,ORF_ENA|PV935594|PV935594.1_+1_10921_11058,ORF_ENA|PV935594|PV935594.1_-1_11029_11172,ORF_ENA|PV935594|PV935594.1_-1_11671_11838,ORF_ENA|PV935594|PV935594.1_-1_11902_12045,ORF_ENA|PV935594|PV935594.1_-2_11946_12053,ORF_ENA|PV935594|PV935594.1_-3_12092_12268,ORF_ENA|PV935594|PV935594.1_-1_12124_12225,ORF_ENA|PV935594|PV935594.1_-1_12253_12456,ORF_ENA|PV935594|PV935594.1_+3_12315_12413,ORF_ENA|PV935594|PV935594.1_+3_12450_12542,ORF_ENA|PV935594|PV935594.1_-1_12562_12735,ORF_ENA|PV935594|PV935594.1_-1_12850_13023,ORF_ENA|PV935594|PV935594.1_-2_12927_13028,ORF_ENA|PV935594|PV935594.1_-3_13085_13243,ORF_ENA|PV935594|PV935594.1_+1_13129_13254,ORF_ENA|PV935594|PV935594.1_-1_13240_13338,ORF_ENA|PV935594|PV935594.1_-3_13268_13390,ORF_ENA|PV935594|PV935594.1_+3_13281_13436,ORF_ENA|PV935594|PV935594.1_-2_13329_13520"
ENA|PV935594|PV935594.1_predicted_orf_3,ENA|PV935594|PV935594.1,392,637,-,-3,246,81,ATG,0.7511,Overlap,"ORF_ENA|PV935594|PV935594.1_+2_236_13453,ORF_ENA|PV935594|PV935594.1_+3_402_503,ORF_ENA|PV935594|PV935594.1_-2_486_662,ORF_ENA|PV935594|PV935594.1_+3_534_656"
ENA|PV935594|PV935594.1_predicted_orf_4,ENA|PV935594|PV935594.1,486,662,-,-2,177,58,ATG,0.6412,Overlap,"ORF_ENA|PV935594|PV935594.1_+2_236_13453,ORF_ENA|PV935594|PV935594.1_-3_392_637,ORF_ENA|PV935594|PV935594.1_+3_534_656"
ENA|PV935594|PV935594.1_predicted_orf_5,ENA|PV935594|PV935594.1,820,960,-,-1,141,46,GTG,0.51,Overlap,"ORF_ENA|PV935594|PV935594.1_+2_236_13453,ORF_ENA|PV935594|PV935594.1_+3_855_1067"
ENA|PV935594|PV935594.1_predicted_orf_6,ENA|PV935594|PV935594.1,979,1080,-,-1,102,33,TTG,0.4144,Overlap,"ORF_ENA|PV935594|PV935594.1_+2_236_13453,ORF_ENA|PV935594|PV935594.1_+3_855_1067"
ENA|PV935594|PV935594.1_predicted_orf_7,ENA|PV935594|PV935594.1,1207,1299,-,-1,93,30,GTG,0.4681,Overlap,ORF_ENA|PV935594|PV935594.1_+2_236_13453
ENA|PV935594|PV935594.1_predicted_orf_8,ENA|PV935594|PV935594.1,1361,1738,-,-3,378,125,TTG,0.7788,Overlap,"ORF_ENA|PV935594|PV935594.1_+2_236_13453,ORF_ENA|PV935594|PV935594.1_+3_1434_1529,ORF_ENA|PV935594|PV935594.1_-1_1498_1686,ORF_ENA|PV935594|PV935594.1_+3_1545_1709"
ENA|PV935594|PV935594.1_predicted_orf_9,ENA|PV935594|PV935594.1,1782,1874,-,-2,93,30,TTG,0.4093,Overlap,ORF_ENA|PV935594|PV935594.1_+2_236_13453
ENA|PV935594|PV935594.1_predicted_orf_10,ENA|PV935594|PV935594.1,1900,2016,-,-1,117,38,TTG,0.4285,Overlap,ORF_ENA|PV935594|PV935594.1_+2_236_13453
