query_id,subject_id,identity_percent,alignment_length,evalue,bitscore,query_coverage,subject_coverage,mismatch,gapopen,qstart,qend,sstart,send,qlen,slen,refined_identity,refined_length,is_refined,annotation_confidence,rejection_reason
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0DTD1|R1AB_SARS2,100.0,4401,0.0,8651.0,99.91,62.02,0,0,1,4401,1,4401,4405,7096,100.0,4401,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6U8|R1A_SARS,79.9,4422,0.0,7120.0,100.0,100.0,832,11,1,4405,1,4382,4405,4382,79.9,4422,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6F8|R1A_BCHK3,79.3,4409,0.0,7117.0,100.0,100.0,876,7,1,4405,1,4376,4405,4376,79.3,4409,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6X7|R1AB_SARS,79.9,4418,0.0,7113.0,99.91,61.9,832,11,1,4401,1,4378,4405,7073,79.9,4418,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6F5|R1A_BC279,79.8,4421,0.0,7109.0,100.0,100.0,844,8,1,4405,1,4388,4405,4388,79.8,4421,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6W2|R1AB_BCHK3,79.3,4405,0.0,7109.0,99.91,61.87,876,7,1,4401,1,4372,4405,7067,79.3,4405,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6V9|R1AB_BC279,79.8,4417,0.0,7102.0,99.91,61.93,844,8,1,4401,1,4384,4405,7079,79.8,4417,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6T7|R1A_BCRP3,79.7,4416,0.0,7101.0,100.0,100.0,848,9,1,4405,1,4380,4405,4380,79.7,4416,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6W6|R1AB_BCRP3,79.7,4412,0.0,7094.0,99.91,61.89,848,9,1,4401,1,4376,4405,7071,79.7,4412,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6T6|R1A_BCHK9,37.1,3892,0.0,2319.0,86.47,87.22,2180,72,593,4401,537,4241,4405,4248,37.1,3892,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6W5|R1AB_BCHK9,37.1,3892,0.0,2319.0,86.47,53.46,2180,72,593,4401,537,4241,4405,6930,37.1,3892,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|K9N638|R1A_MERS1,33.0,4518,0.0,2193.0,97.64,97.08,2553,99,101,4401,123,4385,4405,4391,33.0,4518,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|K9N7C7|R1AB_MERS1,33.0,4517,0.0,2191.0,97.62,60.21,2553,99,101,4400,123,4384,4405,7078,33.0,4517,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6T5|R1A_BCHK5,32.4,4677,0.0,2166.0,99.64,99.26,2644,102,13,4401,28,4475,4405,4481,32.4,4677,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6W4|R1AB_BCHK5,32.4,4677,0.0,2166.0,99.64,61.93,2644,102,13,4401,28,4475,4405,7182,32.4,4677,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6T4|R1A_BCHK4,32.9,4551,0.0,2127.0,97.66,97.09,2560,101,100,4401,124,4428,4405,4434,32.9,4551,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6W3|R1AB_BCHK4,32.9,4551,0.0,2127.0,97.66,60.47,2560,101,100,4401,124,4428,4405,7119,32.9,4551,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6F7|R1A_BC133,32.9,4559,0.0,2116.0,97.57,97.01,2546,105,104,4401,128,4435,4405,4441,32.9,4559,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6W1|R1AB_BC133,32.9,4559,0.0,2116.0,97.57,60.45,2546,105,104,4401,128,4435,4405,7126,32.9,4559,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6T9|R1A_CVBLU,36.5,2890,0.0,1740.0,64.43,64.27,1710,54,1568,4405,1565,4381,4405,4383,36.5,2890,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6W8|R1AB_CVBLU,36.5,2886,0.0,1734.0,64.34,39.65,1709,54,1568,4401,1565,4377,4405,7094,36.5,2886,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6U1|R1A_CVBQ,36.3,2891,0.0,1732.0,64.43,64.27,1714,55,1568,4405,1565,4381,4405,4383,36.3,2891,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6U7|R1A_CVHOC,36.4,2891,0.0,1731.0,64.43,64.27,1711,56,1568,4405,1565,4381,4405,4383,36.4,2891,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_2,sp|P0C6U0|R1A_CVBM,36.3,2891,0.0,1727.0,64.43,64.27,1715,56,1568,4405,1565,4381,4405,4383,36.3,2891,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6X7|R1AB_SARS,95.8,2595,0.0,5157.0,100.0,36.69,110,0,1,2595,4479,7073,2595,7073,95.8,2595,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6W6|R1AB_BCRP3,95.7,2595,0.0,5150.0,100.0,36.7,112,0,1,2595,4477,7071,2595,7071,95.7,2595,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6V9|R1AB_BC279,95.6,2595,0.0,5135.0,100.0,36.66,115,0,1,2595,4485,7079,2595,7079,95.6,2595,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6W2|R1AB_BCHK3,95.1,2595,0.0,5130.0,100.0,36.72,126,0,1,2595,4473,7067,2595,7067,95.1,2595,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6W4|R1AB_BCHK5,66.4,2605,0.0,3623.0,99.88,36.08,849,8,3,2594,4581,7171,2595,7182,66.4,2605,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|K9N7C7|R1AB_MERS1,66.8,2597,0.0,3619.0,99.88,36.48,842,9,3,2594,4491,7072,2595,7078,66.8,2597,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6W1|R1AB_BC133,66.3,2596,0.0,3595.0,99.88,36.22,857,9,3,2594,4541,7121,2595,7126,66.3,2596,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6W5|R1AB_BCHK9,66.5,2588,0.0,3593.0,99.46,37.14,845,10,1,2581,4343,6916,2595,6930,66.5,2588,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6W3|R1AB_BCHK4,66.3,2596,0.0,3590.0,99.88,36.26,857,9,3,2594,4534,7114,2595,7119,66.3,2596,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6X8|R1AB_CVM2,62.1,2630,0.0,3372.0,99.92,36.64,940,12,2,2594,4513,7122,2595,7124,62.1,2630,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6X9|R1AB_CVMA5,62.1,2630,0.0,3364.0,99.92,36.37,939,12,2,2594,4565,7174,2595,7176,62.1,2630,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6W7|R1AB_CVBEN,62.1,2633,0.0,3364.0,99.92,36.83,937,13,2,2594,4480,7092,2595,7094,62.1,2633,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6W8|R1AB_CVBLU,62.1,2633,0.0,3364.0,99.92,36.83,937,13,2,2594,4480,7092,2595,7094,62.1,2633,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6X6|R1AB_CVHOC,62.0,2634,0.0,3353.0,99.92,36.84,939,13,2,2594,4480,7093,2595,7095,62.0,2634,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6W9|R1AB_CVBM,61.9,2631,0.0,3345.0,99.92,36.83,946,12,2,2594,4480,7092,2595,7094,61.9,2631,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6X3|R1AB_CVHN2,61.9,2631,0.0,3338.0,99.92,36.54,947,11,2,2594,4538,7150,2595,7152,61.9,2631,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6X2|R1AB_CVHN1,61.7,2632,0.0,3336.0,99.92,36.38,950,12,2,2594,4568,7180,2595,7182,61.7,2632,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6X4|R1AB_CVHN5,61.7,2632,0.0,3336.0,99.92,36.64,951,12,2,2594,4518,7130,2595,7132,61.7,2632,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6Y0|R1AB_CVMJH,61.5,2630,0.0,3324.0,99.92,36.32,954,13,2,2594,4571,7178,2595,7180,61.5,2630,0,0.0,Alternative match (lower alignment ranking).
ENA|PV935594|PV935594.1_predicted_orf_66,sp|P0C6X0|R1AB_CVBQ,61.3,2575,0.0,3215.0,97.34,36.15,925,15,2,2527,4480,7031,2595,7059,61.3,2575,0,0.0,Alternative match (lower alignment ranking).
