query_id,subject_id,identity_percent,alignment_length,evalue,bitscore,query_coverage,subject_coverage,mismatch,gapopen,qstart,qend,sstart,send,qlen,slen,rejection_reason
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/X-31(H3N2))],99.57,230,4.89952e-170,469.9,100.0,100.0,1,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Puerto Rico/8/1934(H1N1))],99.57,230,7.27287e-170,469.5,100.0,100.0,1,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Henry/1936(H1N1))],99.13,230,8.97332e-169,466.8,100.0,100.0,2,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Phila/1935(H1N1))],96.96,230,3.32642e-165,458.0,100.0,100.0,7,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Wilson-Smith/1933(H1N1))],96.09,230,1.43319e-163,453.8,100.0,100.0,9,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Albany/12/1951(H1N1))],94.35,230,5.4811e-162,449.9,100.0,97.05,13,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/USSR/90/1977(H1N1))],93.91,230,1.48894e-160,446.4,100.0,97.05,14,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Leningrad/134/47/1957(H2N2))],93.48,230,2.40937e-160,445.7,100.0,100.0,15,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Brevig Mission/1/1918(H1N1))],94.78,230,2.48999e-160,445.7,100.0,100.0,12,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Fort Warren/1/1950(H1N1))],93.48,230,2.69239e-160,445.7,100.0,97.05,15,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Japan/305-/1957(H2N2))],93.48,230,4.0848e-160,445.3,100.0,97.05,15,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Chile/1/1983(H1N1))],93.04,230,1.03779e-159,444.1,100.0,97.05,16,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Hickox/1940(H1N1))],93.04,230,1.17089e-159,444.1,100.0,97.05,16,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/India/6263/1980(H1N1))],92.61,230,1.55732e-159,443.7,100.0,97.05,17,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/AA/Huston/1945(H1N1))],93.48,230,4.26731e-159,442.6,100.0,100.0,15,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/seal/Massachussetts/133/1982(H4N5))],93.91,230,2.26107e-158,440.7,100.0,100.0,14,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/seal/Mass/1/1980(H7N7))],93.48,230,2.28601e-158,440.7,100.0,100.0,15,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/ruddy turnstone/New Jersey/47/1985(H4N6))],93.48,230,2.97452e-158,440.3,100.0,100.0,15,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/turkey/Minnesota/501/1978(H6N8))],93.04,230,1.13407e-157,438.7,100.0,100.0,16,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/chicken/Victoria/1985(H7N7))],93.04,230,1.33691e-157,438.7,100.0,100.0,16,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1 [Influenza A virus (A/blue-winged teal/MN/993/1980(H6N6))],93.04,230,1.81759e-157,438.3,100.0,100.0,16,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/turkey/Ontario/6118/1968(H8N4))],93.04,230,2.21436e-157,438.0,100.0,100.0,16,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/mallard/Ohio/556/1987(H5N9))],92.61,230,4.46835e-157,437.2,100.0,100.0,17,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/whale/Maine/328/1984(H13N2))],92.61,230,4.61784e-157,437.2,100.0,100.0,17,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/turkey/Wisconsin/1/1966(H9N2))],92.61,230,5.75068e-157,437.2,100.0,100.0,17,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/chicken/Scotland/1959(H5N1))],93.04,230,8.53539e-157,436.8,100.0,100.0,16,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/gray teal/Australia/2/1979(H4N4))],92.17,230,1.17322e-156,436.4,100.0,100.0,18,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (STRAIN A/PINTAIL/ALBERTA/268/78)],92.17,230,2.88418e-156,435.3,100.0,100.0,18,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/shearwater/Australia/1/1972(H6N5))],92.61,230,4.72497e-156,434.9,100.0,100.0,17,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Korea/426/1968(H2N2))],90.87,230,9.33316e-156,434.1,100.0,97.05,21,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/duck/England/1/1956(H11N6))],91.74,230,1.44649e-155,433.3,100.0,100.0,19,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/turkey/Ontario/7732/1966(H5N9))],92.17,230,4.52638e-155,432.2,100.0,100.0,18,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/herring gull/DE/677/1988(H2N8))],91.3,230,1.26924e-154,431.0,100.0,100.0,20,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (strain A/wa-182)],89.57,230,1.7453e-154,431.0,100.0,97.05,24,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Nanchang/11/1996(H1N1))],90.0,230,2.32033e-154,430.6,100.0,100.0,23,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Hong Kong/1/1968(H3N2))],89.57,230,5.52102e-154,429.9,100.0,97.05,24,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/mallard/New York/6874/1978(H3N2))],91.74,230,6.09191e-154,429.5,100.0,100.0,19,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Iowa/1943(H1N1))],91.3,230,9.79079e-154,428.7,100.0,100.0,20,6,1,230,1,224,230,224,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/equine/London/1416/1973(H7N7))],90.0,230,1.12595e-153,428.7,100.0,100.0,23,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Memphis/1/1971(H3N2))],89.57,230,2.32278e-153,428.3,100.0,97.05,24,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Memphis/10/1996(H1N1))],89.13,230,3.40911e-153,427.6,100.0,100.0,25,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Ck/HK/37.4/2002(H5N1))],90.87,230,4.84255e-153,427.2,100.0,100.0,21,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/chicken/Brescia/1902(H7N7))],90.43,230,9.87879e-153,426.4,100.0,100.0,22,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Queensland/7/70(H3N2))],89.13,230,9.98877e-153,426.8,100.0,97.05,25,0,1,230,1,230,230,237,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/South Canterbury/35/2000(H1N1))],89.13,230,1.1024e-152,426.4,100.0,100.0,25,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/turkey/Ireland/1378/1983(H5N8))],90.43,230,1.41873e-152,426.0,100.0,100.0,22,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/equine/Newmarket/1/77(H7N7))],89.13,230,1.95003e-152,425.6,100.0,100.0,25,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Ann Arbor/6/1960(H2N2))],94.01,217,2.30532e-152,424.9,94.35,100.0,13,0,1,217,1,217,230,217,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_1,RecName: Full=Non-structural protein 1; Short=NS1; AltName: Full=NS1A [Influenza A virus (A/Gf/HK/38/2002(H5N1))],90.43,230,2.73973e-152,425.2,100.0,100.0,22,0,1,230,1,230,230,230,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Puerto Rico/8/1934(H1N1))],99.12,113,9.39969e-76,223.0,91.87,93.39,1,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Henry/1936(H1N1))],96.46,113,2.1686e-74,219.6,91.87,93.39,4,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Hickox/1940(H1N1))],95.58,113,2.29517e-73,216.9,91.87,93.39,5,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/AA/Huston/1945(H1N1))],95.58,113,5.64409e-73,216.1,91.87,93.39,5,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Japan/305-/1957(H2N2))],95.58,113,7.42562e-73,215.7,91.87,93.39,5,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Korea/426/1968(H2N2))],95.58,113,1.05494e-72,215.3,91.87,93.39,5,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Phila/1935(H1N1))],94.69,113,2.10599e-72,214.5,91.87,93.39,6,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/India/6263/1980(H1N1))],94.69,113,2.35023e-72,214.5,91.87,93.39,6,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/USSR/90/1977(H1N1))],94.69,113,2.42888e-72,214.2,91.87,93.39,6,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Wilson-Smith/1933(H1N1))],94.69,113,2.42888e-72,214.2,91.87,93.39,6,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Leningrad/134/47/1957(H2N2))],94.69,113,3.30246e-72,214.2,91.87,93.39,6,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Brevig Mission/1/1918(H1N1))],94.69,113,3.89331e-72,213.8,91.87,93.39,6,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Singapore/1/1957(H2N2))],94.69,113,3.93627e-72,213.8,91.87,93.39,6,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Tokyo/3/1967(H2N2))],93.81,113,4.90222e-72,213.4,91.87,93.39,7,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Hong Kong/1/1968(H3N2))],94.69,113,5.12217e-72,213.4,91.87,93.39,6,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/Chile/1/1983(H1N1))],94.69,113,5.35199e-72,213.4,91.87,93.39,6,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
ENA|EF467817|EF467817.1_predicted_orf_5,RecName: Full=Nuclear export protein; Short=NEP; AltName: Full=Non-structural protein 2; Short=NS2 [Influenza A virus (A/turkey/Ontario/7732/1966(H5N9))],93.81,113,8.48517e-72,213.0,91.87,93.39,7,0,11,123,9,121,123,121,Alternative match (lower alignment ranking).
