orf_id,sequence_id,start,end,strand,frame,length_bp,length_aa,start_codon,confidence_score,overlap_flag,overlap_with
NC_045512.2_predicted_orf_1,NC_045512.2,10,123,-,-3,114,37,GTG,0.4849,None,
NC_045512.2_predicted_orf_2,NC_045512.2,133,291,-,-3,159,52,TTG,0.4687,None,
NC_045512.2_predicted_orf_3,NC_045512.2,266,13483,+,2,13218,4405,ATG,1.0,Overlap,"ORF_NC_045512.2_+3_276_425,ORF_NC_045512.2_-2_422_667,ORF_NC_045512.2_+3_432_533,ORF_NC_045512.2_-1_516_692,ORF_NC_045512.2_+3_564_686,ORF_NC_045512.2_+3_711_881,ORF_NC_045512.2_-3_850_990,ORF_NC_045512.2_+3_885_1097,ORF_NC_045512.2_-3_1009_1110,ORF_NC_045512.2_+3_1128_1229,ORF_NC_045512.2_-3_1237_1329,ORF_NC_045512.2_-2_1391_1768,ORF_NC_045512.2_+3_1464_1559,ORF_NC_045512.2_-3_1528_1716,ORF_NC_045512.2_+3_1575_1739,ORF_NC_045512.2_-1_1812_1904,ORF_NC_045512.2_+3_1866_1967,ORF_NC_045512.2_-3_1930_2046,ORF_NC_045512.2_-3_2125_2262,ORF_NC_045512.2_+3_2208_2312,ORF_NC_045512.2_-3_2290_2751,ORF_NC_045512.2_-2_2561_2917,ORF_NC_045512.2_+3_2577_2684,ORF_NC_045512.2_-3_2842_2949,ORF_NC_045512.2_+3_2958_3206,ORF_NC_045512.2_-1_3006_3263,ORF_NC_045512.2_-2_3095_3190,ORF_NC_045512.2_-2_3203_3298,ORF_NC_045512.2_+3_3207_3302,ORF_NC_045512.2_-3_3355_3450,ORF_NC_045512.2_-2_3359_3466,ORF_NC_045512.2_-2_3578_3688,ORF_NC_045512.2_+3_3594_3752,ORF_NC_045512.2_-3_3682_3777,ORF_NC_045512.2_-1_3738_3830,ORF_NC_045512.2_-3_3811_4014,ORF_NC_045512.2_+3_3930_4103,ORF_NC_045512.2_-3_4138_4236,ORF_NC_045512.2_-1_4191_4292,ORF_NC_045512.2_+3_4317_4430,ORF_NC_045512.2_-3_4324_4458,ORF_NC_045512.2_+3_4707_4835,ORF_NC_045512.2_-3_4873_5022,ORF_NC_045512.2_-2_4901_5011,ORF_NC_045512.2_+3_5103_5216,ORF_NC_045512.2_-1_5448_5546,ORF_NC_045512.2_-3_5473_5583,ORF_NC_045512.2_-2_5486_5641,ORF_NC_045512.2_-2_5687_5779,ORF_NC_045512.2_+1_5803_5913,ORF_NC_045512.2_-2_5834_6019,ORF_NC_045512.2_+3_5919_6089,ORF_NC_045512.2_-3_5980_6072,ORF_NC_045512.2_+3_6156_6350,ORF_NC_045512.2_-3_6187_6543,ORF_NC_045512.2_+3_6753_6860,ORF_NC_045512.2_-3_7165_7269,ORF_NC_045512.2_-2_7232_7336,ORF_NC_045512.2_+3_7236_7367,ORF_NC_045512.2_-3_7321_7419,ORF_NC_045512.2_+3_7377_7469,ORF_NC_045512.2_-1_7407_7538,ORF_NC_045512.2_+3_7542_7709,ORF_NC_045512.2_-2_7688_7825,ORF_NC_045512.2_+3_8001_8102,ORF_NC_045512.2_-3_8044_8148,ORF_NC_045512.2_-2_8237_8386,ORF_NC_045512.2_-3_8644_8772,ORF_NC_045512.2_-3_8797_8949,ORF_NC_045512.2_+3_8856_8975,ORF_NC_045512.2_+3_8988_9083,ORF_NC_045512.2_-1_9030_9122,ORF_NC_045512.2_+3_9093_9194,ORF_NC_045512.2_-2_9107_9223,ORF_NC_045512.2_-3_9166_9288,ORF_NC_045512.2_+3_9201_9329,ORF_NC_045512.2_-2_9395_9493,ORF_NC_045512.2_+1_9646_9738,ORF_NC_045512.2_+3_9918_10115,ORF_NC_045512.2_-2_10040_10177,ORF_NC_045512.2_+3_10215_10400,ORF_NC_045512.2_-2_10223_10375,ORF_NC_045512.2_-3_10273_10371,ORF_NC_045512.2_-1_10503_10649,ORF_NC_045512.2_-3_10597_10767,ORF_NC_045512.2_-1_10755_10856,ORF_NC_045512.2_-3_10819_11022,ORF_NC_045512.2_+1_10951_11088,ORF_NC_045512.2_-3_11059_11202,ORF_NC_045512.2_-3_11701_11868,ORF_NC_045512.2_-3_11932_12075,ORF_NC_045512.2_-1_11976_12083,ORF_NC_045512.2_-2_12122_12298,ORF_NC_045512.2_-3_12154_12255,ORF_NC_045512.2_-3_12283_12486,ORF_NC_045512.2_+3_12345_12443,ORF_NC_045512.2_+3_12480_12572,ORF_NC_045512.2_-3_12592_12765,ORF_NC_045512.2_-3_12880_13053,ORF_NC_045512.2_-1_12957_13058,ORF_NC_045512.2_-2_13115_13273,ORF_NC_045512.2_+1_13159_13284,ORF_NC_045512.2_-3_13270_13368,ORF_NC_045512.2_-2_13298_13420,ORF_NC_045512.2_+3_13311_13466,ORF_NC_045512.2_-1_13359_13550"
NC_045512.2_predicted_orf_4,NC_045512.2,422,667,-,-2,246,81,ATG,0.751,Overlap,"ORF_NC_045512.2_+2_266_13483,ORF_NC_045512.2_+3_432_533,ORF_NC_045512.2_-1_516_692,ORF_NC_045512.2_+3_564_686"
NC_045512.2_predicted_orf_5,NC_045512.2,516,692,-,-1,177,58,ATG,0.6411,Overlap,"ORF_NC_045512.2_+2_266_13483,ORF_NC_045512.2_-2_422_667,ORF_NC_045512.2_+3_564_686"
NC_045512.2_predicted_orf_6,NC_045512.2,850,990,-,-3,141,46,GTG,0.5099,Overlap,"ORF_NC_045512.2_+2_266_13483,ORF_NC_045512.2_+3_885_1097"
NC_045512.2_predicted_orf_7,NC_045512.2,1009,1110,-,-3,102,33,TTG,0.4145,Overlap,"ORF_NC_045512.2_+2_266_13483,ORF_NC_045512.2_+3_885_1097"
NC_045512.2_predicted_orf_8,NC_045512.2,1237,1329,-,-3,93,30,GTG,0.4681,Overlap,ORF_NC_045512.2_+2_266_13483
NC_045512.2_predicted_orf_9,NC_045512.2,1391,1768,-,-2,378,125,TTG,0.7788,Overlap,"ORF_NC_045512.2_+2_266_13483,ORF_NC_045512.2_+3_1464_1559,ORF_NC_045512.2_-3_1528_1716,ORF_NC_045512.2_+3_1575_1739"
NC_045512.2_predicted_orf_10,NC_045512.2,1812,1904,-,-1,93,30,TTG,0.4093,Overlap,ORF_NC_045512.2_+2_266_13483
NC_045512.2_predicted_orf_11,NC_045512.2,1930,2046,-,-3,117,38,TTG,0.4285,Overlap,ORF_NC_045512.2_+2_266_13483
