query_id,subject_id,identity_percent,alignment_length,evalue,bitscore,query_coverage,subject_coverage,mismatch,gapopen,qstart,qend,sstart,send,qlen,slen,refined_identity,refined_length,is_refined,annotation_confidence
NC_007373.1_predicted_orf_1,sp|O91740|PB2_I93A0,98.9,759,0.0,1469.0,100.0,100.0,8,0,1,759,1,759,759,759,98.95,759,1,0.9968
NC_007372.1_predicted_orf_2,sp|O91741|RDRP_I93A0,98.8,757,0.0,1480.0,100.0,100.0,9,0,1,757,1,757,757,757,98.81,757,1,0.9964
NC_007371.1_predicted_orf_1,sp|O91742|PA_I93A0,98.9,716,0.0,1431.0,100.0,100.0,8,0,1,716,1,716,716,716,98.88,716,1,0.9966
NC_007366.1_predicted_orf_1,sp|O11283|HEMA_I89A2,91.2,566,0.0,1003.0,100.0,100.0,50,0,1,566,1,566,566,566,91.17,566,1,0.9735
NC_007369.1_predicted_orf_3,sp|P16982|NCAP_I83A8,96.4,498,0.0,956.0,100.0,100.0,18,0,1,498,1,498,498,498,96.39,498,1,0.9892
NC_007368.1_predicted_orf_1,sp|O91745|NRAM_I96A1,95.5,469,0.0,937.0,100.0,100.0,21,0,1,469,1,469,469,469,95.52,469,1,0.9866
NC_007370.1_predicted_orf_1,sp|Q67253|NS1_I89A1,98.7,230,1.66e-162,447.0,100.0,100.0,3,0,1,230,1,230,230,230,98.7,230,1,0.9961
NC_007370.1_predicted_orf_3,sp|P69257|NEP_I77A0,99.1,113,1.03e-74,216.0,91.87,93.39,1,0,11,123,9,121,123,121,99.12,113,1,0.8689
NC_007367.1_predicted_orf_2,sp|Q77GW1|M1_I89A2,98.4,252,5.49e-172,473.0,100.0,100.0,4,0,1,252,1,252,252,252,98.41,252,1,0.9952
NC_007367.1_predicted_orf_7,sp|Q38SQ7|M2_I83A8,91.6,95,2.94e-62,183.0,98.96,97.94,8,0,2,96,3,97,96,97,98.86,88,1,0.8396
